,疾病名称,简介,挂号的科室
1396,急性化脓性乳突炎,中耳乳突间有粘膜相连续，中耳化脓感染后乳突粘膜亦相应有炎症反应，初起为卡他炎性，乳突区可能有轻度压痛，俟鼓膜穿孔流脓后，乳突炎性反应随即消失。如排脓不畅，或第Ⅲ型肺炎球菌感染，毒性很强，破坏骨质，使乳突小房粘膜水肿、出血、坏死化脓，便成为急性化脓性乳突炎，实际为急性...,耳鼻喉科
1397,耳石症,扁桃体结石多发生于扁桃体上隐窝中，如此处长期阻塞，分泌物引流不畅，干酪样物积聚，致不易溶解的钙、镁等无机盐沉积而成结石。其核心可为小异物、脱落的上皮细胞或细菌等。在有纤毛菌丝的周围亦常可发生结石。结石可为一个或多个，从芝麻至核桃大小，有报告一扁桃体结石重6.4克，散布...,
1398,面肌痉挛,面肌痉挛亦称面肌抽搐或偏侧面肌痉挛症，是一侧面神经受激惹而产生的功能紊乱症候群。多是一侧，双侧罹患者很少，约占4％。患者多是40岁以上成人，男女性别之比为2∶3。发病率约占人群之64/100000。Stocks曾报道一家四代人中有13人患病，但非遗传性疾病。此病早在16世纪初我国医书《审视...,神经内科 内科
1399,慢性阻塞性腮腺炎,慢性阻塞性腮腺炎又称腮腺管炎，中年人发病率高，因腮腺反复肿胀而就诊。临床主要表现为阻塞症状和腮腺反覆肿胀。,口腔科
1400,面游风,面游风是一种因皮脂分泌过多所引起的慢性、亚急性炎症性皮肤病。因其多发于面部，表现为皮肤瘙痒、脱屑，故称之为面游风。《医宗金鉴?外科心法要诀?面游风》云：“此证生于面上，初发面目浮肿，痒若虫行，肌肤干燥，时起白屑c次后极痒，抓破，热湿盛者津黄水，风燥盛者津血水，痛楚难堪...,中医科
1401,进行性面偏侧萎缩症,进行性面偏侧萎缩症(progressive hemifacial atrophy)也称之为Parry-Romberg综合征。为一种进行性单侧面部组织的营养障碍性疾病，少数病变范围累及肢体或躯体，称为进行性半侧萎缩症。其临床特征是一侧面部局灶性的皮下脂肪及结缔组织的慢性进行性萎缩，肌纤维并不受累，严重者侵犯软骨...,神经内科
1402,小儿小颌畸形综合征,小颌畸形综合征(micrognathia syndrome)又称腭裂-小颌畸形-舌下垂综合征、小下颌-舌下垂综合征、小颌大舌畸形综合征、吸气性气道阻塞综合征、Robin综合征、Pierre-Robin综合征等。本病征以新生儿、婴儿时期的先天性小颌畸形、舌下垂，腭裂及吸气性呼吸道阻塞为特征，本病征引起的呼吸道...,儿科
1403,人面疮,此症自古传来乃奇病也，多生两膝或生两肘，肿类人形眉目口鼻皆俱，本事方云疮口能饮食，施治诸药绝无所苦，惟敷贝母其疮邹眉闭口，自此日用贝母末和水敷灌数日，疮消结痂而愈。而现代医学证明，自古奇症人面疮，属于是寄生胎的一种，应当通过外科手术进行切除。,皮肤科 普外科
1404,屏幕脸,“屏幕脸”是一种形象的说法，它更多的是心理上的疾病。长时间的人机对话，会让人不知不觉中生出一张表情淡漠的脸，影响日常的人际交往，且容易产生人格障碍与性格异常。,心理咨询
1405,红血丝,红血丝是面部先天性毛细血管位置比较浅而引起的一种面部现象，皮肤薄而敏感，过冷、过热、情绪激动时脸色更红，从而形成红血丝现象。面部红血丝患者面部看上去比一般正常肤色红。人们常称高原脸或红脸蛋或是烂苹果，这种皮肤薄而敏感，过冷、过热、情绪激动时脸色更红。,皮肤科
1406,微笑抑郁症,“微笑抑郁症”是抑郁症的一种，是多发生在都市白领身上的一种新型抑郁倾向。患者常常为了维护自己在别人心目中的美好形象，刻意掩饰自己的情绪，强颜欢笑。这不仅仅会导致心理疾病，长此以往，还会诱发生理疾患。,心理咨询
1407,口腔溃疡,"口腔溃疡，又称为“口疮”，是发生在口腔粘膜上的表浅性溃疡，大小可从米粒至黄豆大小、成圆形或卵圆形，溃疡面为凹、周围充血。溃疡具有周期性、复发性及自限性等特点,好发于唇、颊、舌缘等。病因及致病机制仍不明确。诱因可能是局部创伤、精神紧张、食物、药物、激素水平改变及维生素...",口腔科
1408,牙周病,牙周病是牙齿支持组织，包括牙龈、牙骨质、牙周韧带和牙槽骨因炎症所致的一种疾病 ，是最常见的口腔疾病之一，也是导致牙齿丧失的一个主要原因。但患者并非所有这些组织都同时患病，视局部炎症的轻重及范围，实际上牙周病可分为龈炎和牙周炎二大类。,口腔科
1409,牙龈炎,牙龈炎是指发生在牙龈组织的的急、慢性炎症。牙龈(gingiva)是指覆盖于牙槽突表面和牙颈部周围的口腔粘膜上皮及其下方的结缔组织。牙菌斑是牙龈炎的始动因子，牙龈炎常见表现为牙龈出血，红肿，胀痛，有可能向深层发展导致牙周炎。由细菌感染、外物刺激以及食物嵌塞等均可引起牙龈炎，一...,口腔科
1410,口蹄疫,口蹄疫(foot and mouth disease)是一种人畜共患病，是由口蹄疫病毒引起的一种急性传染病。最易感的是牛类，猪也易感，羊、山羊、骆驼、象等均有发病报告，人亦可感染。主要是人与动物接触而发病，临床主要表现为唇、牙龈、颊部、舌的边缘、手足颜面等处的黏膜、皮肤先出现红点、继生水疱...,皮肤科 传染科
1411,牙齿感觉过敏症,牙齿感觉过敏症（tooth hypersensitivity）又称过敏性牙本质（hypersensitive dentine）或牙本质过敏（dentine hypersensitivity），是牙齿在受到外界刺激，如温度（冷、热）、化学物质（酸、甜）以及机械作用（磨擦或咬硬物）等所引起的酸痛症状，其特点为发作迅速、疼痛尖锐、时间短暂...,口腔科
1412,口腔单纯性疱疹,单纯疱疹是由单纯疱疹病毒引起的皮肤和粘膜疾病。疱疹性口炎多见于婴幼儿，在高热、咽痛后出现口腔粘膜上成簇小水疱或溃疡或融合后形成的大溃疡，7～14天左右可自愈。唇疱疹 多见于成人。发病时可取疱液作病毒接种，或取疱基底涂片，或血液抗单纯疱疹病毒抗体效价升高则证实诊断。,口腔科
1413,慢性淋巴细胞性甲状腺炎,慢性淋巴细胞性甲状腺炎(chronic lymphocytic thyroiditis，CLT)又称自身免疫性甲状腺炎，是一种以自身甲状腺组织为抗原的慢性炎症性自身免疫性疾病。日本九州大学Hashimoto首先(1912)在德国医学杂志上报道了4例而命名为Hashimoto(桥本)甲状腺炎(Hashimotos thyroiditis，HT)，为临床中...,内分泌科
1414,甲状旁腺功能亢进症,甲状旁腺功能亢进症可分为原发性、继发性、三发性和假性四种。原发者是由于甲状旁腺本身病变 （ 肿瘤或增生 ） 引起的甲状旁腺素 （PTH） 合成与分泌过多，通过其对骨与肾的作用，导致高钙血症和低磷血症。临床特征为反复发作的肾结石、消化性溃疡、精神改变与广泛的骨吸收。近年来，不...,内分泌科
1415,先天性喉软骨畸形,先天性喉软骨畸形一般分为3中类型：1、会厌畸形 于胚胎第5周时，第3、4鳃弓未能自两侧向中线生长融合，发生会厌分叉或两裂(先天性双会厌)。会厌分叉呈蛇舌形。2、甲状软骨异常 胚胎第8周时，来自第4鳃弓的两翼板自下而上在中线融合形成甲状软骨。若发育不全，可发生先天性甲状软骨裂，部...,耳鼻喉科
1416,气管肿瘤,气管肿瘤有良性肿瘤和恶性肿瘤两大类。儿童期的气管肿瘤绝大部分（90%）为良性，成人者恶性占多数。 气管肿瘤由于发病较少及医者对本病的警惕不高和认识不足，常被误诊或漏诊，能及时获得正确治疗者不多。本病不论良性或恶性均应手术治疗。良性肿瘤切除后，完全痊愈，恶性肿瘤若能及时彻...,肿瘤科 心胸外科
1417,小儿气管、支气管异物,气管、支气管异物(foreign bodies in the trachea and bronchi)是儿科的常见急危疾病之一，可以造成小儿的突然死亡，多见于5岁以下儿童，严重性取决于异物的性质和造成气道阻塞的程度，轻者可致肺部损害，重者可窒息死亡。 异物分内源性和外源性。内源性异物乃因呼吸道炎症发生的假膜、...,儿科 呼吸内科
1418,气管梗阻,"气管梗阻最常见于交通事故引起的胸部损伤,因常合并头部损伤造成意识障碍;其他还常见于过量饮酒、医疗手术和任意使用麻醉药剂。",心胸外科 内科
1419,气管前间隙感染,气管前间隙位于气管前筋膜与气管之间，向下可达上纵隔。临床感染少见，主要继发于喉咽、食管的损伤和甲状腺炎症。初起因喉头轻度水肿而声嘶，程度加重时则可有吞咽困难和呼吸困难等。使用足量有效抗生素，辅助局部物理治疗有助于炎症控制。脓肿形成应切开引流。,呼吸内科
1420,乳腺炎,乳腺炎是指乳腺的化脓性感染，急性乳腺炎是产褥期的常见病，是引起产后发热的原因之一，最常见于哺乳妇女，尤其是初产妇。哺乳期的任何时间均可发生，而哺乳的开始最为常见。慢性乳腺炎的特点是起病慢，病程长，不易痊愈，经久难消。,妇科
1421,男子乳房发育症,一、症状：　　本症是一种常见的内分泌疾病，乳房增大为临床上唯一的表现，正常男性在新生儿期、青春期及老年期，乳房可生理性增大;但介于青春期和老年期之间的男子，若发生乳房增大，则多为病理性，应及时查找病因。,乳腺外科 内分泌科
1422,乳腺囊性增生病,乳腺囊性增生病(cystic hyperplasia of breast)，又称慢性囊性乳腺病、囊肿性脱皮性乳腺增生病、纤维囊性乳腺病等。是以乳腺小叶、小导管及末端导管高度扩张形成的囊肿为特征，伴有乳腺结构不良病变的疾病。　　本病是妇女常见、多发病之一，多见于25～45岁女性，其本质上是一种生理增生...,乳腺外科 妇科
1423,乳腺结核,乳腺结核，多继发于肺结核、肠结核或肠系膜淋巴结构，经血行传播至乳房所引起的结核，临床较少见。,乳腺外科
1424,单纯性乳腺增生症,单纯性乳腺上皮增生症(simple epithelial hyperplasia of mammary glands)是乳腺结构不良症的早期病变，为育龄妇女常见病，可发生于青春期后至绝经期前的任何年龄组，尤其以未婚女性或已婚未育者，或已育未哺乳的性功能旺盛的女性为多见。该病的发病高峰年龄为30～40岁。在临床上50%女性...,乳腺外科
1425,男性乳腺癌,男性乳腺癌(male mammary cancer)是少见的恶性肿瘤，占男性全部癌肿的0.2%～1.5%，占乳腺癌的1%左右。正是由于“男性不会患乳腺癌”这种错误认识，往往导致人们丧失警惕，直到男性乳腺癌癌症晚期才发现罹患乳癌，从而错过了最佳的治疗时机。从理论上说，乳癌的发生是由于乳房细胞内出现...,肿瘤科 乳腺外科
1426,副乳,多乳房(副乳或副乳腺)即多乳头症，并不少见，是指除正常的1对乳房外，另有1个或多个乳房，也称多余乳房，但多余乳房均在乳腺发生线上。副乳房也可发生同正常部位乳房所发生的任何疾病，有人报告副乳腺癌的发生率在0.1%，副乳房的良性肿瘤的发生率也在0.1%左右，应引起注意。,乳腺外科 妇科
1427,乳房导管内乳头状瘤,乳房导管内乳头状瘤(intraductal papilloma of breast)又称大导管乳头状瘤、囊内乳头状瘤等，是发生于乳头及乳晕区大导管的良性乳头状瘤。,乳腺外科
1428,急性化脓性乳腺炎,急性乳房炎是乳房的急性化脓性感染，俗称“奶疮”或“乳痈”。几乎所有的病人都是产后哺乳的产妇，尤其以初产妇更为多见。如果乳汁淤积在乳房中流不出去，再加上细菌从乳头的破损处进入乳房，就可能引发炎症。,乳腺外科 妇科
1429,巨乳症,通常成年妇女的乳房发育到一定程度即停止生长。正常的乳腺应位于第2～6胸肋，重量约为250～350g。若在乳房发育时期内，因受到过强过多的雌激素刺激，或对雌激素刺激特别敏感，而使一侧或两侧乳腺过度发育增大，超过正常乳房的界限及重量，即称为成人型女性乳房肥大症，亦称巨乳症。有的...,内分泌科 妇科
